Ref,Eff Water Cement Ratio,Aggregate Cement Ratio,RCA %,Nominal Maximum RCA Size,Nominal Max NA Size,Density RCA,Density NA,Water Absorption RCA,Water Absorption NA,Compressive Strength (Mpa),Flexural Strength (Mpa)
,0.41,1.7,60,20,20,2400,2600,3.5,0.7,43.3,0
,0.41,1.7,15,20,20,2370,2600,4,0.7,52.9,0
,0.41,1.7,30,20,20,2370,2600,4,0.7,49.9,0
,0.41,1.7,45,20,20,2370,2600,4,0.7,53.7,0
,0.41,1.7,60,20,20,2370,2600,4,0.7,46,0
[49],0.48,5.1,0,25,20,0,2570,0,1.2,41.3,6.4
,0.48,5,27,25,20,2250,2570,7,1.2,51.4,5.8
,0.48,4.9,64,25,20,2250,2570,7,1.2,45.6,4.9
,0.48,5,37,25,20,2250,2570,7,1.2,44.7,4.8
,0.48,5,37,25,20,2250,2570,7,1.2,41.9,5.7
[50],0.5,2.4,100,25,32,2452,0,4.1,0,51,0
,0.5,2.4,100,25,32,2452,0,4.1,0,49,0
,0.5,2.4,100,25,32,2452,0,4.1,0,48,0
,0.5,2.6,0,25,32,2452,2652,4.1,0.8,52,0
,0.5,2.5,50,25,32,2452,2652,4.1,0.8,51,0
,0.5,2.5,50,25,32,2452,2652,4.1,0.8,51,0
,0.5,2.5,50,25,32,2452,2652,4.1,0.8,51,0
,0.5,2.5,25,25,32,2452,2652,4.1,0.8,52,0
,0.5,2.5,25,25,25,2452,2652,4.1,0.8,50,0
,0.5,2.5,25,25,25,2452,2652,4.1,0.8,49,0
[51],0.38,2,0,25,38,0,2630,0,1.2,54.1,7.7
,0.28,2,100,25,38,2260,0,7.5,0,38.3,6.5
,0.28,2,100,25,38,2260,0,7.5,0,32.9,5.9
,0.23,2,100,25,38,2260,0,7.5,0,33.2,5.5
,0.46,2.4,0,25,38,0,2630,0,1.2,42.2,7.1
,0.34,2.4,100,25,38,2260,0,7.5,0,31.3,5.7
,0.34,2.4,100,25,38,2260,0,7.5,0,28.4,5.3
,0.28,2.4,100,25,38,2260,0,7.5,0,28,5.1
,0.58,3.1,0,25,25,0,2630,0,1.2,28.8,5.9
,0.43,3.1,100,25,25,2260,0,7.5,0,26.5,5.5
,0.43,3.1,100,25,25,2260,0,7.5,0,23.3,5.1
,0.35,3.1,100,25,25,2260,0,7.5,0,21.6,4.7
,0.67,3.5,0,25,25,0,2630,0,1.2,23.6,5.2
,0.49,3.5,100,25,25,2260,0,7.5,0,21.6,5.3
,0.49,3.5,100,25,25,2260,0,7.5,0,18,4.8
,0.4,3.5,100,25,25,2260,0,7.5,0,18.8,4.5
,0.8,4.2,0,25,25,0,2630,0,1.2,17.3,4.4
,0.59,4.2,100,25,25,2260,0,7.5,0,16.1,5.2
,0.59,4.2,100,25,25,2260,0,7.5,0,13.4,4
,0.48,4.2,100,25,25,2260,0,7.5,0,13.9,3.9
[52],0.6,3.6,0,20,20,0,2540,0,1.8,38,0
,0,0,0,0,0,0,0,0,0,0,0
,0.59,3.3,20,20,20,2320,2540,5.3,1.8,41,0
,0.57,3.3,50,20,20,2320,2540,5.3,1.8,44,0
,0.54,3,100,20,20,2320,0,5.3,0,45,0
,0.46,2.6,0,20,20,0,2540,0,1.8,51.5,0
,0.45,2.5,20,20,20,2320,2540,5.3,1.8,50.5,0
,0.44,2.5,50,20,20,2320,2540,5.3,1.8,45,0
,0.42,2.3,100,20,20,2320,0,5.3,0,56,0
,0.67,3.6,0,20,19,0,2540,0,1.8,37,0
,0.68,3.4,20,20,19,2320,2540,5.3,1.8,33.5,0
,0.67,3,50,20,19,2320,2540,5.3,1.8,32,0
,0.7,2.3,100,20,19,2320,0,5.3,0,32,0
,0.53,2.7,0,20,19,0,2540,0,1.8,45,0
,0.53,2.5,20,20,19,2320,2540,5.3,1.8,44,0
,0.53,2.2,50,20,19,2320,2540,5.3,1.8,41,0
,0.52,1.8,100,20,19,2320,0,5.3,0,41.5,0
,0.51,3.1,0,20,20,0,2540,0,1.8,46.5,0
,0.52,3.2,20,20,20,2320,2540,5.3,1.8,44,0
,0.54,3,50,20,20,2320,2540,5.3,1.8,41,0
,0.58,2.8,100,20,20,2320,0,5.3,0,33.5,0
,0.42,2.7,0,20,20,0,2540,0,1.8,58,0
,0.42,2.9,20,20,20,2320,2540,5.3,1.8,53.5,0
,0.44,2.7,50,20,20,2320,2540,5.3,1.8,54,0
,0.49,2.5,100,20,20,2320,0,5.3,0,40,0
[53],0.42,2.6,50,20,19,2330,2590,6.1,1.2,41.6,0
,0.51,2.3,100,20,19,2330,0,6.1,0,31.4,0
,0.52,2.6,50,20,19,2330,2590,6.1,1.2,35.5,0
,0.61,2.3,100,20,19,2330,0,6.1,0,26,0
,0.44,2.6,50,20,19,2320,2590,5.8,1.2,44.6,0
,0.51,2.3,100,20,19,2320,0,5.8,0,36.7,0
,0.62,2.3,100,20,19,2320,0,5.8,0,29.5,0
,0.41,2.8,20,20,19,2360,2590,3.9,1.2,46.1,0
,0.42,2.6,50,20,20,2360,2590,3.9,1.2,45.1,0
,0.45,2.3,100,20,20,2360,0,3.9,0,42.9,0
,0.5,2.8,20,20,20,2360,2590,3.9,1.2,39.3,0
,0.52,2.6,50,20,20,2360,2590,3.9,1.2,39.5,0
,0.54,2.3,100,20,20,2360,0,3.9,0,37.7,0
,0.42,2.8,20,20,20,2350,2590,4.5,1.2,48.1,0
,0.43,2.6,50,20,20,2350,2590,4.5,1.2,41,0
,0.4,2.3,100,20,20,2350,0,4.5,0,38.7,0
,0.51,2.8,20,20,20,2350,2590,4.5,1.2,42.7,0
,0.52,2.6,50,20,20,2350,2590,4.5,1.2,35.4,0
,0.5,2.3,100,20,20,2350,0,4.5,0,31.4,0
,0.42,2.8,20,20,20,2350,2590,4.7,1.2,48.5,0
,0.42,2.6,50,20,20,2350,2590,4.7,1.2,45.4,0
,0.43,2.3,100,20,20,2350,0,4.7,0,37,0
,0.52,2.8,20,20,20,2350,2590,4.7,1.2,41.3,0
,0.52,2.6,50,20,20,2350,2590,4.7,1.2,36.8,0
,0.56,2.3,100,20,20,2350,0,4.7,0,31.2,0
[54],0.41,2.6,0,32,20,0,2820,0,0.4,47.2,0
,0.38,2.6,33,32,20,2578,2820,9.3,0.4,42.4,0
,0.36,2.6,53,32,20,2578,2820,9.3,0.4,45.7,0
,0.34,2.6,72,32,20,2578,2820,9.3,0.4,36.7,0
,0.31,2.6,100,32,20,2578,0,9.3,0,38.9,0
[55],0.47,3.8,0,20,25,0,2610,0,1,53.1,0
,0.47,3.7,20,20,25,2336,2610,3.6,1,50,0
,0.47,3.6,50,20,25,2315,2610,3.6,1,45.3,0
,0.47,3.6,75,20,25,2295,2610,3.6,1,44,0
,0.47,3.5,100,20,25,2273,0,3.6,0,41.6,0
[56],0.29,2.9,0,10,10,0,2680,0,2.1,102.1,6.5
,0.29,2.8,20,10,10,2470,2680,3.7,2.1,108,7.4
,0.29,2.8,50,10,10,2470,2680,3.7,2.1,104.8,7.7
,0.29,2.7,100,10,10,2470,0,3.7,0,108.5,6.8
,0.29,2.8,20,10,10,2390,2680,4.9,2.1,102.5,8
,0.29,2.7,50,10,10,2390,2680,4.9,2.1,103.1,6.8
,0.29,2.6,100,10,10,2390,0,4.9,0,100.8,6.3
,0.29,2.8,20,10,10,2300,2680,5.9,2.1,104.3,6.7
,0.29,2.7,50,10,10,2300,2680,5.9,2.1,96.8,6.8
,0.29,2.5,100,10,10,2300,0,5.9,0,91.2,6.5
[57],0.65,4.6,0,20,30,0,2680,0,1.53,18,2.4
,0.65,4.7,25,20,30,2380,2680,6.94,1.53,14.7,2.1
,0.65,4.8,50,20,30,2380,2680,6.94,1.53,14.6,1.9
,0.65,4.8,75,20,30,2380,2680,6.94,1.53,14.2,1.9
,0.72,5.8,0,20,20,0,2680,0,1.53,30.8,2.3
,0.72,5.9,20,20,20,2380,2680,6.94,1.53,26.8,2.7
,0.72,6,40,20,20,2380,2680,6.94,1.53,26.6,2
,0.45,1.9,0,16,20,0,2680,0,1.53,66.9,3.8
,0.45,2.3,20,16,20,2380,2680,6.94,1.53,49.3,2.8
,0.45,2.5,40,16,20,2380,2680,6.94,1.53,40.9,2.7
[58],0.6,3.5,0,16,20,0,2680,0,1.9,42,4.7
,0.6,3.4,20,16,20,2380,2680,6.9,1.9,42.9,4.7
,0.6,3.4,50,16,20,2380,2680,6.9,1.9,42.5,4.7
,0.6,3.2,100,16,20,2380,0,6.9,0,40.9,4.8
,0.5,2.7,0,16,20,0,2680,0,1.9,50.2,5.1
,0.5,2.6,20,16,20,2380,2680,6.9,1.9,51.6,5.1
,0.5,2.5,50,16,20,2380,2680,6.9,1.9,51.6,5.1
,0.5,2.4,100,16,20,2380,0,6.9,0,50.3,5.3
[59],0.5,3.4,0,22,22,0,2670,0,0,46.7,0
,0.5,3.4,50,12,22,2380,2670,0,0,46.9,0
,0.5,3.4,50,22,22,2380,2670,0,0,46.4,0
,0.5,3.4,100,22,22,2380,0,0,0,48.6,0
[60],0.52,2.2,0,19,10,0,2810,0,0.4,29.9,3.6
,0.49,2.1,25,19,10,2500,2810,6.6,0.4,32.6,3.3
[61],0.5,3.5,50,8,20,2330,2750,3.8,0.8,33,0
,0.5,3.2,50,8,20,2280,0,4.1,0,29.1,0
[62],0.68,3.8,0,20,20,0,2600,0,0.9,34.5,0
,0.68,3.6,100,20,20,2450,0,3.1,0,35,0
,0.68,3.4,100,20,20,2370,0,7.1,0,29.2,0
,0.68,3.4,100,20,20,2360,0,7.8,0,27.7,0
,0.51,3.3,0,20,20,0,2600,0,0.9,48.3,0
,0.51,3.1,100,20,20,2450,0,3.1,0,47.6,0
,0.51,3,100,20,20,2370,0,7.1,0,42,0
,0.51,3,100,20,20,2360,0,7.8,0,42.9,0
,0.44,2.5,0,20,20,0,2600,0,0.9,61.6,0
,0.44,2.4,100,20,20,2450,0,3.1,0,60,0
,0.44,2.3,100,20,20,2370,0,7.1,0,53.7,0
,0.44,2.3,100,20,20,2360,0,7.8,0,53.2,0
,0.34,2.2,0,20,20,0,2600,0,0.9,80.8,0
,0.34,2.1,100,20,20,2450,0,3.1,0,78.2,0
,0.34,2,100,20,20,2370,0,7.1,0,71.2,0
,0.34,2,100,20,20,2360,0,7.8,0,65.4,0
[63],0.5,3.1,0,19,19,0,2730,0,0.3,36.5,0
,0.5,3,30,19,19,2570,2730,2.7,0.3,33.6,0
,0.5,3,60,19,19,2570,2730,2.7,0.3,30.4,0
,0.5,2.8,100,19,19,2570,0,2.7,0,29.1,0
[64],0.65,3.1,0,20,19,0,2500,0,1.7,40.5,0
,0.65,3.2,20,20,19,2300,2500,5.2,1.7,39.5,0
,0.65,3.2,50,20,19,2300,2500,5.2,1.7,40.8,0
,0.65,3.2,100,20,19,2300,0,5.2,0,43.7,0
,0.65,3.1,0,20,19,0,2500,0,1.7,40.5,0
,0.65,3.1,20,20,19,2300,2500,5.5,1.7,41,0
,0.65,3.1,50,20,19,2300,2500,5.5,1.7,38.8,0
,0.65,3.2,100,20,19,2300,0,5.5,0,39.9,0
[65],0.42,2.7,0,25,25,0,2570,0,1.1,38.6,10.2
,0.4,2.7,16,25,25,2200,2570,5.4,1.1,32.7,9.7
,0.39,2.2,37,25,25,2200,2570,5.4,1.1,31.7,9
,0.36,2.7,52,25,20,2200,2570,5.4,1.1,29,8.9
[66],0.86,4.6,0,22,20,0,2537,0,1.3,23.9,0
,0.65,3.4,0,22,20,0,2537,0,1.3,38.7,0
,0.41,2.9,0,22,20,0,2537,0,1.3,71.1,0
,0.87,4.6,100,22,20,2451,0,7.8,0,19.7,0
,0.66,3.4,100,22,20,2387,0,6.9,0,35.7,0
,0.42,2.8,100,22,20,2362,0,4.2,0,66.8,0
,0.86,4.6,100,22,20,2456,0,7.5,0,21.8,0
,0.65,3.5,100,22,20,2455,0,6.4,0,36.1,0
,0.42,2.9,100,22,20,2496,0,4.2,0,68.5,0
,0.81,4.9,0,22,20,0,2665,0,1,27.5,0
,0.63,3.6,0,22,20,0,2665,0,1,42.4,0
,0.4,3,0,22,20,0,2665,0,1,72.3,0
,0.84,4.5,100,22,20,2401,0,7.6,0,21,0
,0.63,3.5,100,22,20,2484,0,5.4,0,41.1,0
,0.4,2.8,100,22,20,2363,0,3.6,0,70.2,0
,0.82,4.7,100,22,20,2447,0,6.9,0,23.6,0
,0.64,3.4,100,22,22,2458,0,5.8,0,39.7,0
,0.42,2.9,100,22,22,2464,0,3.9,0,66.5,0
[67],0.64,3,0,19,20,0,2634,0,1.3,33,0
,0.77,3.1,100,19,20,2268,0,4.9,0,27.5,0
,0.7,3.4,100,19,20,1946,0,11.9,0,29.9,0
[68],0.6,3.6,0,19,19,0,2730,0,0.5,47.8,0
,0.59,3.3,20,19,19,2320,2730,5.3,0.5,49.3,0
,0.57,3.3,50,19,19,2320,2730,5.3,0.5,47.5,0
,0.54,3,100,19,19,2320,0,5.3,0,53.7,0
,0.46,2.6,0,19,19,0,2730,0,0.5,62,0
,0.45,2.5,20,19,19,2320,2730,5.3,0.5,64.8,0
,0.44,2.5,50,19,19,2320,2730,5.3,0.5,63.5,0
,0.42,2.3,100,19,19,2320,0,5.3,0,65.1,0
,0.67,3.6,0,19,19,0,2730,0,0.5,62,0
,0.68,3.4,20,19,19,2320,2730,5.3,0.5,64.8,0
,0.67,3,50,19,19,2320,2730,5.3,0.5,63.5,0
,0.7,2.3,100,19,19,2320,0,5.3,0,65.1,0
,0.53,2.7,0,19,19,0,2730,0,0.5,57.3,0
,0.53,2.5,20,19,19,2320,2730,5.3,0.5,54.9,0
,0.53,2.2,50,19,19,2320,2730,5.3,0.5,51.5,0
,0.52,1.8,100,19,19,2320,0,5.3,0,50.3,0
,0.51,3.1,0,19,19,0,2730,0,0.5,60.1,0
,0.52,3.2,20,19,19,2320,2730,5.3,0.5,56.5,0
,0.54,3,50,19,19,2320,2730,5.3,0.5,48.9,0
,0.58,2.8,100,19,19,2320,0,5.3,0,43.1,0
,0.42,2.7,0,19,19,0,2730,0,0.5,72.9,0
,0.42,2.9,20,19,19,2320,2730,5.3,0.5,67.4,0
,0.44,2.7,50,19,19,2320,2730,5.3,0.5,61.2,0
,0.49,2.5,100,19,19,2320,0,5.3,0,53.7,0
