Ref,Water kg/m^3,Cement kg/m^3,Sand,NCA,RCA,SP,Dia Max,Density RCA,W RCA,UCS
,161,358,645,281,813,1.3584,19,2500,3.3,44.8
,156,349,857,0,867,1.2564,19,2500,3.3,45.9
[13],153,340,723,512,549,3.4,12,2400,6.8,39.6
,165,330,715,507,543,2.64,12,2400,6.8,38.1
,176,320,708,502,537,1.92,12,2400,6.8,34.5
,186,310,702,497,533,1.24,12,2400,6.8,31.6
,140,350,732,553,523,4.2,22,2420,8.8,46.1
,153,340,723,547,517,3.4,22,2420,8.8,45.8
,165,330,715,541,511,2.64,22,2420,8.8,39.9
,176,320,708,535,506,1.92,22,2420,8.8,36.3
,186,310,702,531,501,1.24,22,2420,8.8,34.7
[14],200,270,750,675,200,1.08,19,2440,5.8,18.5
,210,270,750,450,400,1.35,19,2440,5.8,18
,220,270,750,225,600,1.62,19,2440,5.8,16.5
,165,370,865,760,230,1.48,19,2440,5.8,33
,165,370,865,505,455,1.85,19,2440,5.8,34.5
,165,370,865,250,680,2.59,19,2440,5.8,34
[15],178.5,275,938.05,723.07,180.77,1.925,16,2400,5,31.7
,178.5,275,962.73,423.77,423.77,1.925,16,2400,5,32.4
,178.5,275,1005.18,0,756.46,1.925,16,2400,5,30.1
,190,380,794.31,750.04,187.57,2.66,16,2400,5,43.7
,190,380,811.37,443.71,443.71,2.66,16,2400,5,37.5
,190,380,838.29,0,807.97,2.66,16,2400,5,40.5
[15],151,335,630,414,720,1.266,19,2420,5.4,41.4
,156,349,888,0,792,1.67616,19,2420,5.4,43.9
,161,358,645,281,813,1.3584,19,2500,3.3,44.8
,156,349,857,0,867,1.2564,19,2500,3.3,45.9
,180,405,508,624,624,0,20,2340,5.3,31
,180,426,494,0,1241,0,20,2340,5.3,34
,193,350,661,1061,57,0,12,2010,10.9,40
[20],194,350,515,1061,170,0,12,2010,10.9,38.6
,196,350,368,1061,283,0,12,2010,10.9,37.6
,199,158,0,1061,566,0,12,2010,10.9,38.6
,158,350,693,1111,59,3.5,12,2010,10.9,53.7
,163,350,536,1105,177,3.5,12,2010,10.9,51
,168,350,381,1100,294,3.5,12,2010,10.9,47.8
,178,350,0,1089,582,3.5,12,2010,10.9,45.1
,137,350,713,1143,61,3.5,12,2010,10.9,64.6
,139,350,555,1143,183,3.5,12,2010,10.9,65.4
,143,350,395,1138,304,3.5,12,2010,10.9,63.2
,150,350,0,1132,605,3.5,12,2010,10.9,63
[21],180,281,802,0,970,0,10,2360,4.7,38.6
,170,293,648,0,919,0,10,2280,6.2,38.1
,165,337,841,0,879,0,10,2220,7.8,39.3
,190,463,621,0,970,0,10,2360,4.7,60.1
,190,500,621,0,919,3.24,10,2280,6.2,60.2
,180,600,567,0,879,5.04,10,2220,7.8,62.8
,220,537,693,782,138,0,20,2330,4.4,50.8
[22],220,537,693,644,276,0,20,2330,4.4,44.9
,220,537,693,506,414,0,20,2330,4.4,44.6
,220,537,693,368,552,0,20,2330,4.4,42.4
,220,537,693,782,138,0,20,2370,4,54
,220,537,693,644,276,0,20,2370,4,56
,220,537,693,506,414,0,20,2370,4,54.4
,220,537,693,368,552,0,20,2370,4,40.6
,220,537,693,782,138,0,20,2390,3.6,55.2
,220,537,693,644,276,0,20,2390,3.6,53.5
,220,537,693,506,414,0,20,2390,3.6,56.9
,220,537,693,368,552,0,20,2390,3.6,54.7
,220,537,693,782,138,0,20,2320,4.6,50.5
,220,537,693,644,276,0,20,2320,4.6,48.9
,220,537,693,506,414,0,20,2320,4.6,45.8
,220,537,693,368,552,0,20,2320,4.6,40
,220,537,693,782,138,0,20,2390,3.7,54.4
,220,537,693,644,276,0,20,2390,3.7,50.2
,220,537,693,506,414,0,20,2390,3.7,49.5
,220,537,693,368,552,0,20,2390,3.7,40.4
,220,537,693,782,138,0,20,2390,3.5,45
,220,537,693,644,276,0,20,2390,3.5,46.9
,220,537,693,506,414,0,20,2390,3.5,51.4
,220,537,693,368,552,0,20,2390,3.5,53.2
,220,537,693,782,138,0,20,2380,3.8,55.3
,220,537,693,644,276,0,20,2380,3.8,55.9
,220,537,693,506,414,0,20,2380,3.8,52.6
,220,537,693,368,552,0,20,2380,3.8,48
,220,537,693,782,138,0,20,2380,3.8,49.1
,220,537,693,644,276,0,20,2380,3.8,49.9
,220,537,693,506,414,0,20,2380,3.8,50.3
,220,537,693,368,552,0,20,2380,3.8,47.5
,220,537,693,782,138,0,20,2400,3.5,43.2
,220,537,693,644,276,0,20,2400,3.5,53.7
,220,537,693,506,414,0,20,2400,3.5,50
,220,537,693,368,552,0,20,2400,3.5,43.3
,220,537,693,782,138,0,20,2370,4,52.9
,220,537,693,644,276,0,20,2370,4,49.9
,220,537,693,506,414,0,20,2370,4,53.7
,220,537,693,368,552,0,20,2370,4,46
[23],206,413,606,0,987,0,25,2452,4.1,51
,206,413,606,0,987,0,25,2452,4.1,49
,206,413,606,0,987,0,25,2452,4.1,48
,206,413,606,537,494,0,25,2452,4.1,51
,206,413,606,537,494,0,25,2452,4.1,51
,206,413,606,537,494,0,25,2452,4.1,51
,206,413,606,805,245,0,25,2452,4.1,52
,206,413,606,805,245,0,25,2452,4.1,50
,206,413,606,805,245,0,25,2452,4.1,49
[24],145.6,520,577.2,0,1040,0,25,2260,7.5,38.3
,145.6,520,577.2,0,1040,0,25,2260,7.5,32.9
,119.6,520,577.2,0,1040,0,25,2260,7.5,33.2
,146.2,430,653.6,0,1032,0,25,2260,7.5,31.3
,146.2,430,653.6,0,1032,0,25,2260,7.5,28.4
,120.4,430,653.6,0,1032,0,25,2260,7.5,28
,145.77,339,728.85,0,1050.9,0,25,2260,7.5,26.5
,145.77,339,728.85,0,1050.9,0,25,2260,7.5,23.3
,118.65,339,728.85,0,1050.9,0,25,2260,7.5,21.6
,144.06,294,767.34,0,1029,0,25,2260,7.5,21.6
,144.06,294,767.34,0,1029,0,25,2260,7.5,18
,117.6,294,767.34,0,1029,0,25,2260,7.5,18.8
,146.91,249,804.27,0,1045.8,0,25,2260,7.5,16.1
,146.91,249,804.27,0,1045.8,0,25,2260,7.5,13.4
,119.52,249,804.27,0,1045.8,0,25,2260,7.5,13.9
,179,275,878,735,184,0,20,2320,5.3,41
[25],179,275,849,455,455,0,20,2320,5.3,44
,179,275,868,0,830,0,20,2320,5.3,45
,190,380,744,757,189,0,20,2320,5.3,50.5
,190,380,710,471,471,0,20,2320,5.3,45
,190,380,715,0,874,0,20,2320,5.3,56
,179,275,961,740,185,0,20,2320,5.3,33.5
,179,275,978,408,408,0,20,2320,5.3,32
,179,275,1010,0,640,0,20,2320,5.3,32
,190,380,813,767,192,0,20,2320,5.3,44
,190,380,822,426,427,0,20,2320,5.3,41
,190,380,836,0,683,0,20,2320,5.3,41.5
,179,325,799,839,210,0,20,2320,5.3,44
,179,325,831,490,490,0,20,2320,5.3,41
,179,325,825,0,923,0,20,2320,5.3,33.5
,173,385,698,892,223,0,20,2320,5.3,53.5
,173,385,742,515,515,0,20,2320,5.3,54
,173,385,746,0,963,0,20,2320,5.3,40
,159.6,380,862.4,489.3,489.3,5.7,20,2330,6.1,41.6
,193.8,380,934.1,0,867.7,6.46,20,2330,6.1,31.4
[26],197.6,380,862.4,489.3,489.3,5.7,20,2330,6.1,35.5
,231.8,380,934.1,0,867.7,6.46,20,2330,6.1,26
,167.2,380,862.4,489.3,489.3,5.7,20,2320,5.8,44.6
,193.8,380,934.1,0,867.7,6.46,20,2320,5.8,36.7
,235.6,380,934.1,0,867.7,6.46,20,2320,5.8,29.5
,155.8,380,818.5,840.9,210.2,4.56,20,2360,3.9,46.1
,159.6,380,862.4,489.3,489.3,5.7,20,2360,3.9,45.1
,171,380,934.1,0,867.7,6.46,20,2360,3.9,42.9
,190,380,818.5,840.9,210.2,4.56,20,2360,3.9,39.3
,197.6,380,862.4,489.3,489.3,5.7,20,2360,3.9,39.5
,205.2,380,934.1,0,867.7,6.46,20,2360,3.9,37.7
,159.6,380,818.5,840.9,210.2,4.56,20,2350,4.5,48.1
,163.4,380,862.4,489.3,489.3,5.7,20,2350,4.5,41
,152,380,934.1,0,867.7,6.46,20,2350,4.5,38.7
,193.8,380,818.5,840.9,210.2,4.56,20,2350,4.5,42.7
,197.6,380,862.4,489.3,489.3,5.7,20,2350,4.5,35.4
,190,380,934.1,0,867.7,6.46,20,2350,4.5,31.4
,159.6,380,818.5,840.9,210.2,4.56,20,2350,4.7,48.5
,159.6,380,862.4,489.3,489.3,5.7,20,2350,4.7,45.4
,163.4,380,934.1,0,867.7,6.46,20,2350,4.7,37
,197.6,380,818.5,840.9,210.2,4.56,20,2350,4.7,41.3
,197.6,380,862.4,489.3,489.3,5.7,20,2350,4.7,36.8
,212.8,380,934.1,0,867.7,6.46,20,2350,4.7,31.2
[27],159.8,340,556,1020,238,0,20,2336,3.6,50
,159.8,340,556,638,596,0,20,2315,3.6,45.3
,159.8,340,556,319,894,0,20,2295,3.6,44
[28],185.4,309,864,848,211,1.0197,16,2380,6.9,42.9
,191.7,320,817.5,538,538,1.056,16,2380,6.9,42.5
,201.6,336,785,0,1060,1.1088,16,2380,6.9,40.9
,192.5,386,829,808,202,2.0458,16,2380,6.9,51.6
,200,399,795,504,504,2.1147,16,2380,6.9,51.6
,210,420,738,0,1014,2.226,16,2380,6.9,50.3
,205,300,697,0,1075,0,20,2450,3.1,35
[29],205,300,697,0,1027,0,20,2370,7.1,29.2
,205,300,697,0,1027,0,20,2360,7.8,27.7
,180,350,706,0,1089,0,20,2450,3.1,47.6
,180,350,706,0,1041,0,20,2370,7.1,42
,180,350,706,0,1041,0,20,2360,7.8,42.9
,185,425,696,0,1028,0,20,2450,3.1,60
,185,425,696,0,982,0,20,2370,7.1,53.7
,185,425,696,0,982,0,20,2360,7.8,53.2
,165,485,685,0,1039,0,20,2450,3.1,78.2
,165,485,685,0,979,0,20,2370,7.1,71.2
,165,485,685,0,982,0,20,2360,7.8,65.4
[30],178.3,358,730.4,783.6,299.3,0.3,19,2570,2.7,33.6
,178.3,358,730.4,458.3,598.4,0.3,19,2570,2.7,30.4
,178.3,358,730.4,0,1020,0.3,19,2570,2.7,29.1
[31],195,300,787.1,756.4,189.1,0,20,2300,5.2,39.5
,195,300,737.4,485.5,485.5,0,20,2300,5.2,40.8
,195,300,712.6,0,951.4,0,20,2300,5.2,43.7
,195,300,814.4,733,183.2,0,20,2300,5.5,41
,195,300,804.2,450.7,450.7,0,20,2300,5.5,38.8
,195,300,807.9,0,855.2,0,20,2300,5.5,39.9
,214.2,210,929,0,966,0,22,2451,7.8,19.7
[32],196,280,866,0,940,0,22,2387,6.9,35.7
,161,350,858,0,974,3.5,22,2362,4.2,66.8
,212.1,210,932,0,970,0,22,2456,7.5,21.8
,193.2,280,870,0,970,0,22,2455,6.4,36.1
,157.5,350,858,0,1029,3.5,22,2496,4.2,68.5
,207.9,210,938,0,953,0,22,2401,7.6,21
,187.6,280,877,0,988,0,22,2484,5.4,41.1
,150.5,350,868,0,982,3.5,22,2363,3.6,70.2
,205.8,210,943,0,977,0,22,2447,6.9,23.6
,190.4,280,873,0,962,0,22,2458,5.8,39.7
,157.5,350,858,0,1016,3.5,22,2464,3.9,66.5
[33],179,275,878,735,184,0,19,2320,5.3,49.3
,179,275,849,455,455,0,19,2320,5.3,47.5
,179,275,868,0,830,0,19,2320,5.3,53.7
,165,485,685,0,982,0,20,2360,7.8,65.4
[30],178.3,358,730.4,783.6,299.3,0.3,19,2570,2.7,33.6
,178.3,358,730.4,458.3,598.4,0.3,19,2570,2.7,30.4
,178.3,358,730.4,0,1020,0.3,19,2570,2.7,29.1
[31],195,300,787.1,756.4,189.1,0,20,2300,5.2,39.5
,195,300,737.4,485.5,485.5,0,20,2300,5.2,40.8
,195,300,712.6,0,951.4,0,20,2300,5.2,43.7
,195,300,814.4,733,183.2,0,20,2300,5.5,41
,195,300,804.2,450.7,450.7,0,20,2300,5.5,38.8
,195,300,807.9,0,855.2,0,20,2300,5.5,39.9
,214.2,210,929,0,966,0,22,2451,7.8,19.7
[32],196,280,866,0,940,0,22,2387,6.9,35.7
,161,350,858,0,974,3.5,22,2362,4.2,66.8
,212.1,210,932,0,970,0,22,2456,7.5,21.8
,193.2,280,870,0,970,0,22,2455,6.4,36.1
,157.5,350,858,0,1029,3.5,22,2496,4.2,68.5
,207.9,210,938,0,953,0,22,2401,7.6,21
,187.6,280,877,0,988,0,22,2484,5.4,41.1
,150.5,350,868,0,982,3.5,22,2363,3.6,70.2
,205.8,210,943,0,977,0,22,2447,6.9,23.6
,190.4,280,873,0,962,0,22,2458,5.8,39.7
,157.5,350,858,0,1016,3.5,22,2464,3.9,66.5
[33],179,275,878,735,184,0,19,2320,5.3,49.3
,179,275,849,455,455,0,19,2320,5.3,47.5
,179,275,868,0,830,0,19,2320,5.3,53.7

